Size;gnome;opt_gnome;selection;opt_selection;shell;opt_shell
100;0,337;0,015;0,450;0,500;0,649;0,012 
200;1,302;0,029;1,690;1,658;2,292;0,020 
300;3,137;0,073;3,878;3,415;5,793;0,035 
400;5,609;0,062;7,356;6,573;10,139;0,050
500;19,762;0,082;11,554;10,010;16,899;0,069 
600;13,871;0,115;17,026;14,119;25,281;0,068 
700;19,339;0,142;23,826;19,883;35,196;0,080
800;24,594;0,133;29,828;26,019;46,493;0,093 
900;30,226;0,150;38,023;33,397;59,354;0,114
1000;38,046;0,168;54,440;41,439;81,112;0,139





 



 
  
    
   
  
   
     
    






 





 


 








