Size;gnome;opt_gnome;selection;opt_selection;shell;opt_shell
100;0,024;0,015;0,451;0,489;0,600;0,012
200;0,046;0,029;1,665;1,594;1,951;0,020
300;0,113;0,079;4,006;3,367;4,784;0,039
400;0,106;0,063;7,468;6,557;8,952;0,050
500;0,151;0,081;11,619;10,077;14,913;0,069
600;0,199;0,128;16,615;14,419;21,402;0,070
700;0,234;0,142;23,426;19,965;31,062;0,083
800;0,219;0,133;29,130;25,033;39,372;0,097
900;0,249;0,151;38,086;32,439;50,386;0,118
1000;0,270;0,169;53,348;41,303;67,438;0,146
